id,domain,capability,replit_role,evidence_class,evidence,evidence_refs,replit_authority,vibeflow_equivalent,vibeflow_authority_rule,canonical_decision,decision,candidate,license_commercial_posture,priority,verification_gate,rationale
R2V-001,01 Experience surfaces and navigation,Android/iOS native shell,"Account, projects, Agent status, mobile navigation, device capabilities and workspace launch surface.",PACKAGE-PROVEN,P,Prior XAPK/docs evidence register; see Final Source Register,Replit mobile client,VibeFlow Mobile Shell,"VibeFlow is authoritative for VibeFlow Mobile Shell state/policy; external IDs are references, never the source of VibeFlow truth.",OWN,OWN,Expo + React Native,MIT,P1,Functional + security tests,Mobile is a control/approval/inspection surface and must feel native.
R2V-002,01 Experience surfaces and navigation,Create prompt composer and artifact-type selector,Starts new work from natural language with artifact type and Plan toggle.,DOCUMENTED,D,Replit Docs: Build Welcome,Replit product UI,Create Surface,"VibeFlow is authoritative for Create Surface state/policy; external IDs are references, never the source of VibeFlow truth.",OWN,OWN,React Native/Web UI,MIT,P1,Functional + security tests,Core zero-to-project entry point.
R2V-003,01 Experience surfaces and navigation,History timeline surface,Visualizes checkpoints and allows rollback/roll-forward navigation.,DOCUMENTED,D,Replit Docs: Checkpoints and Rollbacks,Checkpoint/history system,Recovery Timeline,"VibeFlow is authoritative for Recovery Timeline state/policy; external IDs are references, never the source of VibeFlow truth.",OWN,OWN,Custom UI over checkpoint manifests,CUSTOM/OWNED,P1,Functional + security tests,"Recovery needs cross-provider evidence, not just Git history."
R2V-004,01 Experience surfaces and navigation,Home / recent projects,Discovery and resumption of current projects.,PACKAGE-PROVEN,P,Prior XAPK/docs evidence register; see Final Source Register,Replit project metadata,Home / Project switcher,"VibeFlow is authoritative for Home / Project switcher state/policy; external IDs are references, never the source of VibeFlow truth.",OWN,OWN,React Native UI + PostgreSQL query,MIT; PostgreSQL License,P1,Functional + security tests,Core mobile navigation.
R2V-005,01 Experience surfaces and navigation,Integrations management surface,Catalog and connection status for first-party connectors and MCP servers.,DOCUMENTED,D,Replit Docs: Connect via MCP,Connection service,Connections Center,"VibeFlow is authoritative for Connections Center state/policy; external IDs are references, never the source of VibeFlow truth.",OWN,OWN,Custom UI + MCP catalog,MIT,P1,Functional + security tests,VibeFlow owns grants/policy while providers own credentials/tokens.
R2V-006,01 Experience surfaces and navigation,Native mobile artifact preview,Simulator/emulator/Expo Go preview for generated apps.,DOCUMENTED,D,Prior XAPK/docs evidence register; see Final Source Register,Replit workspace/mobile build system,Mobile Preview Capability,"External/provider implementation remains authoritative; VibeFlow owns binding, grants, policy, normalized state and evidence for Mobile Preview Capability.",BRIDGE,BRIDGE,Expo + Android Emulator + provider capability,MIT,P1,Functional + security tests,"Provider capability, not core authority."
R2V-007,01 Experience surfaces and navigation,Notifications / Live Activities,"Background task status, prompts and progress.",PACKAGE-PROVEN,P,Prior XAPK/docs evidence register; see Final Source Register,Replit mobile client,Action Center + push status,"VibeFlow is authoritative for Action Center + push status state/policy; external IDs are references, never the source of VibeFlow truth.",OWN,OWN,APNs/FCM + Expo Notifications,MIT,P1,Functional + security tests,Critical phone-as-control-surface feature.
R2V-008,01 Experience surfaces and navigation,Preview surface,Interactive live development preview inside the editor.,DOCUMENTED,D,Replit Docs: Development URLs,Development runtime + Project Editor,Preview Pane,"External/provider implementation remains authoritative; VibeFlow owns binding, grants, policy, normalized state and evidence for Preview Pane.",BRIDGE,BRIDGE,iframe/WebView + workspace preview adapter,VERIFY PER DEPENDENCY,P1,Functional + security tests,Preview authority belongs to the workspace/runtime provider.
R2V-009,01 Experience surfaces and navigation,Project cover / project information,"Project metadata, ownership, settings and share operations.",PACKAGE-PROVEN,P,Prior XAPK/docs evidence register; see Final Source Register,Replit project service,Project Overview,"VibeFlow is authoritative for Project Overview state/policy; external IDs are references, never the source of VibeFlow truth.",OWN,OWN,Custom UI,CUSTOM/OWNED,P1,Functional + security tests,Product-level project identity is VibeFlow-owned.
R2V-010,01 Experience surfaces and navigation,Project Editor,Browser-delivered development environment with tools/panes.,DOCUMENTED,D,Prior XAPK/docs evidence register; see Final Source Register,Replit web workspace,Provider-neutral Workspace Surface,"VibeFlow is authoritative for Provider-neutral Workspace Surface state/policy; external IDs are references, never the source of VibeFlow truth.",OWN,ADOPT+OWN,Monaco/code-server/xterm.js + custom shell,MIT,P1,Functional + security tests,Do not rebuild every IDE surface natively.
