vf_id,domain,domain_code,capability,origin,source_r2v_ids,source_capabilities,evidence_class,decision,priority,candidate_or_reference,authority_rule,verification_gate,status
VF-EXP-001,01 Experience surfaces and navigation,EXP,VibeFlow Mobile Shell,REPLIT-DERIVED-REQUIREMENT,R2V-001,Android/iOS native shell,PACKAGE-PROVEN,OWN,P1,Expo + React Native,"VibeFlow is authoritative for VibeFlow Mobile Shell state/policy; external IDs are references, never the source of VibeFlow truth.",Functional + security tests,NOT_STARTED
VF-EXP-002,01 Experience surfaces and navigation,EXP,Create Surface,REPLIT-DERIVED-REQUIREMENT,R2V-002,Create prompt composer and artifact-type selector,DOCUMENTED,OWN,P1,React Native/Web UI,"VibeFlow is authoritative for Create Surface state/policy; external IDs are references, never the source of VibeFlow truth.",Functional + security tests,NOT_STARTED
VF-EXP-003,01 Experience surfaces and navigation,EXP,Recovery Timeline,REPLIT-DERIVED-REQUIREMENT,R2V-003,History timeline surface,DOCUMENTED,OWN,P1,Custom UI over checkpoint manifests,"VibeFlow is authoritative for Recovery Timeline state/policy; external IDs are references, never the source of VibeFlow truth.",Functional + security tests,NOT_STARTED
VF-EXP-004,01 Experience surfaces and navigation,EXP,Home / Project switcher,REPLIT-DERIVED-REQUIREMENT,R2V-004,Home / recent projects,PACKAGE-PROVEN,OWN,P1,React Native UI + PostgreSQL query,"VibeFlow is authoritative for Home / Project switcher state/policy; external IDs are references, never the source of VibeFlow truth.",Functional + security tests,NOT_STARTED
VF-EXP-005,01 Experience surfaces and navigation,EXP,Connections Center,REPLIT-DERIVED-REQUIREMENT,R2V-005,Integrations management surface,DOCUMENTED,OWN,P1,Custom UI + MCP catalog,"VibeFlow is authoritative for Connections Center state/policy; external IDs are references, never the source of VibeFlow truth.",Functional + security tests,NOT_STARTED
VF-EXP-006,01 Experience surfaces and navigation,EXP,Mobile Preview Capability,REPLIT-DERIVED-REQUIREMENT,R2V-006,Native mobile artifact preview,DOCUMENTED,BRIDGE,P1,Expo + Android Emulator + provider capability,"External/provider implementation remains authoritative; VibeFlow owns binding, grants, policy, normalized state and evidence for Mobile Preview Capability.",Functional + security tests,NOT_STARTED
VF-EXP-007,01 Experience surfaces and navigation,EXP,Action Center + push status,REPLIT-DERIVED-REQUIREMENT,R2V-007,Notifications / Live Activities,PACKAGE-PROVEN,OWN,P1,APNs/FCM + Expo Notifications,"VibeFlow is authoritative for Action Center + push status state/policy; external IDs are references, never the source of VibeFlow truth.",Functional + security tests,NOT_STARTED
VF-EXP-008,01 Experience surfaces and navigation,EXP,Preview Pane,REPLIT-DERIVED-REQUIREMENT,R2V-008,Preview surface,DOCUMENTED,BRIDGE,P1,iframe/WebView + workspace preview adapter,"External/provider implementation remains authoritative; VibeFlow owns binding, grants, policy, normalized state and evidence for Preview Pane.",Functional + security tests,NOT_STARTED
VF-EXP-009,01 Experience surfaces and navigation,EXP,Project Overview,REPLIT-DERIVED-REQUIREMENT,R2V-009,Project cover / project information,PACKAGE-PROVEN,OWN,P1,Custom UI,"VibeFlow is authoritative for Project Overview state/policy; external IDs are references, never the source of VibeFlow truth.",Functional + security tests,NOT_STARTED
VF-EXP-010,01 Experience surfaces and navigation,EXP,Provider-neutral Workspace Surface,REPLIT-DERIVED-REQUIREMENT,R2V-010,Project Editor,DOCUMENTED,OWN,P1,Monaco/code-server/xterm.js + custom shell,"VibeFlow is authoritative for Provider-neutral Workspace Surface state/policy; external IDs are references, never the source of VibeFlow truth.",Functional + security tests,NOT_STARTED
VF-EXP-011,01 Experience surfaces and navigation,EXP,Command/Search Palette,REPLIT-DERIVED-REQUIREMENT,R2V-011,Search / command surface,DOCUMENTED,OWN,P1,cmdk/Monaco command APIs + custom registry,"VibeFlow is authoritative for Command/Search Palette state/policy; external IDs are references, never the source of VibeFlow truth.",Functional + security tests,NOT_STARTED
VF-EXP-012,01 Experience surfaces and navigation,EXP,Assurance Center,REPLIT-DERIVED-REQUIREMENT,R2V-012,Security center surface,DOCUMENTED,OWN,P1,Custom UI + scanner adapters,"VibeFlow is authoritative for Assurance Center state/policy; external IDs are references, never the source of VibeFlow truth.",Functional + security tests,NOT_STARTED
VF-EXP-013,01 Experience surfaces and navigation,EXP,Account & Billing,REPLIT-DERIVED-REQUIREMENT,R2V-013,Settings/account/billing surface,CORROBORATED,OWN,P1,Native + web business portal,"VibeFlow is authoritative for Account & Billing state/policy; external IDs are references, never the source of VibeFlow truth.",Functional + security tests,NOT_STARTED
VF-EXP-014,01 Experience surfaces and navigation,EXP,Task Activity Center,REPLIT-DERIVED-REQUIREMENT,R2V-014,Task activity / progress surface,DOCUMENTED,OWN,P1,Custom task/event UI,"VibeFlow is authoritative for Task Activity Center state/policy; external IDs are references, never the source of VibeFlow truth.",Functional + security tests,NOT_STARTED
VF-EXP-015,01 Experience surfaces and navigation,EXP,Capability Dock,REPLIT-DERIVED-REQUIREMENT,R2V-015,Tool dock / all-tools launcher,DOCUMENTED,OWN,P1,Custom capability registry UI,"VibeFlow is authoritative for Capability Dock state/policy; external IDs are references, never the source of VibeFlow truth.",Functional + security tests,NOT_STARTED
VF-EXP-016,01 Experience surfaces and navigation,EXP,Secure Workspace Web Surface,REPLIT-DERIVED-REQUIREMENT,R2V-016,Workspace WebView on mobile,PACKAGE-PROVEN,BRIDGE,P1,react-native-webview + custom bridge,"VibeFlow is authoritative for Secure Workspace Web Surface state/policy; external IDs are references, never the source of VibeFlow truth.",Functional + security tests,NOT_STARTED
VF-MOB-001,02 Mobile native client and device integration,MOB,Device Geometry Capability,REPLIT-DERIVED-REQUIREMENT,R2V-017,Android navigation mode detection,PACKAGE-PROVEN,OWN,P1,Expo native module / Android Settings API,"VibeFlow is authoritative for Device Geometry Capability state/policy; external IDs are references, never the source of VibeFlow truth.",Device/native integration tests + permission/security review,NOT_STARTED
VF-MOB-002,02 Mobile native client and device integration,MOB,Extension Shared Container,REPLIT-DERIVED-REQUIREMENT,R2V-018,App group / shared iOS container,PACKAGE-PROVEN,DEFER,P1,Apple App Groups,Not a greenfield core authority; no foundational dependency on this capability.,Device/native integration tests + permission/security review,NOT_STARTED
VF-MOB-003,02 Mobile native client and device integration,MOB,Lifecycle-bound Device Observers,REPLIT-DERIVED-REQUIREMENT,R2V-019,App lifecycle integration for keyboard observers,PACKAGE-PROVEN,OWN,P1,Expo module lifecycle APIs,"VibeFlow is authoritative for Lifecycle-bound Device Observers state/policy; external IDs are references, never the source of VibeFlow truth.",Device/native integration tests + permission/security review,NOT_STARTED
VF-MOB-004,02 Mobile native client and device integration,MOB,Local approval unlock,REPLIT-DERIVED-REQUIREMENT,R2V-020,Biometric re-authentication,PACKAGE-PROVEN,ADOPT,P1,Platform biometrics,Adopt commodity/open mechanism; VibeFlow stores only product-level metadata/policy for Local approval unlock.,Device/native integration tests + permission/security review,NOT_STARTED
VF-MOB-005,02 Mobile native client and device integration,MOB,Context attachment,REPLIT-DERIVED-REQUIREMENT,R2V-021,Camera/photo attachment,PACKAGE-PROVEN,ADOPT,P1,Expo camera/image picker,Adopt commodity/open mechanism; VibeFlow stores only product-level metadata/policy for Context attachment.,Device/native integration tests + permission/security review,NOT_STARTED
VF-MOB-006,02 Mobile native client and device integration,MOB,Signed/declarative deep-link router,REPLIT-DERIVED-REQUIREMENT,R2V-022,Deep links/app links,PACKAGE-PROVEN,OWN,P1,Platform App Links/Universal Links,"VibeFlow is authoritative for Signed/declarative deep-link router state/policy; external IDs are references, never the source of VibeFlow truth.",Device/native integration tests + permission/security review,NOT_STARTED
VF-MOB-007,02 Mobile native client and device integration,MOB,Mobile Bootstrap,REPLIT-DERIVED-REQUIREMENT,R2V-023,Expo splash / ReactActivity delegate integration,PACKAGE-PROVEN,ADOPT,P1,Expo + React Native,Adopt commodity/open mechanism; VibeFlow stores only product-level metadata/policy for Mobile Bootstrap.,Device/native integration tests + permission/security review,NOT_STARTED
VF-MOB-008,02 Mobile native client and device integration,MOB,Mobile runtime,REPLIT-DERIVED-REQUIREMENT,R2V-024,Expo/React Native runtime,PACKAGE-PROVEN,ADOPT,P1,Expo + React Native + Hermes,Adopt commodity/open mechanism; VibeFlow stores only product-level metadata/policy for Mobile runtime.,Device/native integration tests + permission/security review,NOT_STARTED
VF-MOB-009,02 Mobile native client and device integration,MOB,Artifact download/share,REPLIT-DERIVED-REQUIREMENT,R2V-025,File download/share,PACKAGE-PROVEN,OWN,P1,Platform share/download APIs,"VibeFlow is authoritative for Artifact download/share state/policy; external IDs are references, never the source of VibeFlow truth.",Device/native integration tests + permission/security review,NOT_STARTED
VF-MOB-010,02 Mobile native client and device integration,MOB,Live Execution Status,REPLIT-DERIVED-REQUIREMENT,R2V-026,iOS Live Activities with frequent updates,PACKAGE-PROVEN,BRIDGE,P1,ActivityKit via Expo target/native module,"External/provider implementation remains authoritative; VibeFlow owns binding, grants, policy, normalized state and evidence for Live Execution Status.",Device/native integration tests + permission/security review,NOT_STARTED
VF-MOB-011,02 Mobile native client and device integration,MOB,RN Runtime Bootstrap,REPLIT-DERIVED-REQUIREMENT,R2V-027,New Architecture/Fabric-capable React Native bootstrap,PACKAGE-PROVEN,ADOPT,P1,Expo/React Native,Adopt commodity/open mechanism; VibeFlow stores only product-level metadata/policy for RN Runtime Bootstrap.,Device/native integration tests + permission/security review,NOT_STARTED
VF-MOB-012,02 Mobile native client and device integration,MOB,Signed update channel,REPLIT-DERIVED-REQUIREMENT,R2V-028,OTA update channel,PACKAGE-PROVEN,OWN,P1,expo-updates,"VibeFlow is authoritative for Signed update channel state/policy; external IDs are references, never the source of VibeFlow truth.",Device/native integration tests + permission/security review,NOT_STARTED
VF-MOB-013,02 Mobile native client and device integration,MOB,Keyboard capability adapter,REPLIT-DERIVED-REQUIREMENT,R2V-029,Physical keyboard support,PACKAGE-PROVEN,OWN,P1,Native module + RN APIs,"VibeFlow is authoritative for Keyboard capability adapter state/policy; external IDs are references, never the source of VibeFlow truth.",Device/native integration tests + permission/security review,NOT_STARTED
VF-MOB-014,02 Mobile native client and device integration,MOB,Hardware Keyboard State,REPLIT-DERIVED-REQUIREMENT,R2V-030,Physical-keyboard connection event,PACKAGE-PROVEN,OWN,P1,Expo native module,"VibeFlow is authoritative for Hardware Keyboard State state/policy; external IDs are references, never the source of VibeFlow truth.",Device/native integration tests + permission/security review,NOT_STARTED
VF-MOB-015,02 Mobile native client and device integration,MOB,Background Notification Worker,REPLIT-DERIVED-REQUIREMENT,R2V-031,Remote-notification background mode,PACKAGE-PROVEN,OWN,P1,Expo Notifications/APNs/FCM,"VibeFlow is authoritative for Background Notification Worker state/policy; external IDs are references, never the source of VibeFlow truth.",Device/native integration tests + permission/security review,NOT_STARTED
VF-MOB-016,02 Mobile native client and device integration,MOB,Device posture signal,REPLIT-DERIVED-REQUIREMENT,R2V-032,Rooted-device detection,PACKAGE-PROVEN,DEFER,P1,Platform checks,Not a greenfield core authority; no foundational dependency on this capability.,Device/native integration tests + permission/security review,NOT_STARTED
VF-MOB-017,02 Mobile native client and device integration,MOB,Screen Geometry State,REPLIT-DERIVED-REQUIREMENT,R2V-033,Rounded screen corner detection,PACKAGE-PROVEN,OWN,P1,Android Display APIs,"VibeFlow is authoritative for Screen Geometry State state/policy; external IDs are references, never the source of VibeFlow truth.",Device/native integration tests + permission/security review,NOT_STARTED
VF-MOB-018,02 Mobile native client and device integration,MOB,Secure device credential store,REPLIT-DERIVED-REQUIREMENT,R2V-034,Secure local storage,PACKAGE-PROVEN,ADOPT,P1,expo-secure-store / Keychain/Keystore,Adopt commodity/open mechanism; VibeFlow stores only product-level metadata/policy for Secure device credential store.,Device/native integration tests + permission/security review,NOT_STARTED
VF-MOB-019,02 Mobile native client and device integration,MOB,Keyboard state bridge event,REPLIT-DERIVED-REQUIREMENT,R2V-035,Software keyboard state,PACKAGE-PROVEN,OWN,P1,Versioned bridge message,"VibeFlow is authoritative for Keyboard state bridge event state/policy; external IDs are references, never the source of VibeFlow truth.",Device/native integration tests + permission/security review,NOT_STARTED
VF-MOB-020,02 Mobile native client and device integration,MOB,Review prompt,REPLIT-DERIVED-REQUIREMENT,R2V-036,Store review prompt,PACKAGE-PROVEN,REJECT/OMIT,P1,Platform API,Not a greenfield core authority; no foundational dependency on this capability.,Device/native integration tests + permission/security review,NOT_STARTED
VF-MOB-021,02 Mobile native client and device integration,MOB,Safe Interaction Insets,REPLIT-DERIVED-REQUIREMENT,R2V-037,Tappable-element bottom inset detection,PACKAGE-PROVEN,OWN,P1,Android WindowInsets,"VibeFlow is authoritative for Safe Interaction Insets state/policy; external IDs are references, never the source of VibeFlow truth.",Device/native integration tests + permission/security review,NOT_STARTED
VF-MOB-022,02 Mobile native client and device integration,MOB,Privacy-safe Attribution Gate,REPLIT-DERIVED-REQUIREMENT,R2V-038,Tracking transparency / attribution permission,PACKAGE-PROVEN,REJECT/OMIT,P1,Platform ATT + optional attribution provider,Not a greenfield core authority; no foundational dependency on this capability.,Device/native integration tests + permission/security review,NOT_STARTED
VF-MOB-023,02 Mobile native client and device integration,MOB,Voice context input,REPLIT-DERIVED-REQUIREMENT,R2V-039,Voice/audio capture,PACKAGE-PROVEN,ADOPT,P1,Expo Audio + speech provider,Adopt commodity/open mechanism; VibeFlow stores only product-level metadata/policy for Voice context input.,Device/native integration tests + permission/security review,NOT_STARTED
VF-BRG-001,03 Native-web workspace bridge,BRG,ACK/result contract,REPLIT-DERIVED-REQUIREMENT,R2V-040,ACK semantics,PACKAGE-PROVEN,OWN,P1,Typed request/result envelope,"VibeFlow is authoritative for ACK/result contract state/policy; external IDs are references, never the source of VibeFlow truth.",Bridge schema/version/origin/idempotency conformance + device E2E,NOT_STARTED
VF-BRG-002,03 Native-web workspace bridge,BRG,Bridge telemetry,REPLIT-DERIVED-REQUIREMENT,R2V-041,Bridge performance tracing,PACKAGE-PROVEN,OWN,P0,OpenTelemetry custom spans,"VibeFlow is authoritative for Bridge telemetry state/policy; external IDs are references, never the source of VibeFlow truth.",Bridge schema/version/origin/idempotency conformance + device E2E,NOT_STARTED
VF-BRG-003,03 Native-web workspace bridge,BRG,Strict envelope/schema validation,REPLIT-DERIVED-REQUIREMENT,R2V-042,Bridge schema validation,PACKAGE-PROVEN,OWN,P0,JSON Schema/Zod,"VibeFlow is authoritative for Strict envelope/schema validation state/policy; external IDs are references, never the source of VibeFlow truth.",Bridge schema/version/origin/idempotency conformance + device E2E,NOT_STARTED
VF-BRG-004,03 Native-web workspace bridge,BRG,Bridge Trace Context,REPLIT-DERIVED-REQUIREMENT,R2V-043,Bridge telemetry correlation,PACKAGE-PROVEN,OWN,P0,OpenTelemetry trace/span IDs,"VibeFlow is authoritative for Bridge Trace Context state/policy; external IDs are references, never the source of VibeFlow truth.",Bridge schema/version/origin/idempotency conformance + device E2E,NOT_STARTED
