vf_id,capability,frontend_surface_ids,backend_modules,canonical_state_source,event_source,authority_source,status
VF-EXP-001,VibeFlow Mobile Shell,FE-001/FE-002,project/execution,03_BACKEND/STATE_MACHINES.yaml where applicable,03_BACKEND/EVENT_CATALOG.yaml,02_ARCHITECTURE/CANONICAL_RESOURCE_MODEL.yaml,NOT_STARTED
VF-EXP-002,Create Surface,FE-001/FE-002,project/execution,03_BACKEND/STATE_MACHINES.yaml where applicable,03_BACKEND/EVENT_CATALOG.yaml,02_ARCHITECTURE/CANONICAL_RESOURCE_MODEL.yaml,NOT_STARTED
VF-EXP-003,Recovery Timeline,FE-001/FE-002,project/execution,03_BACKEND/STATE_MACHINES.yaml where applicable,03_BACKEND/EVENT_CATALOG.yaml,02_ARCHITECTURE/CANONICAL_RESOURCE_MODEL.yaml,NOT_STARTED
VF-EXP-004,Home / Project switcher,FE-001/FE-002,project/execution,03_BACKEND/STATE_MACHINES.yaml where applicable,03_BACKEND/EVENT_CATALOG.yaml,02_ARCHITECTURE/CANONICAL_RESOURCE_MODEL.yaml,NOT_STARTED
VF-EXP-005,Connections Center,FE-001/FE-002,project/execution,03_BACKEND/STATE_MACHINES.yaml where applicable,03_BACKEND/EVENT_CATALOG.yaml,02_ARCHITECTURE/CANONICAL_RESOURCE_MODEL.yaml,NOT_STARTED
VF-EXP-006,Mobile Preview Capability,FE-001/FE-002,project/execution,03_BACKEND/STATE_MACHINES.yaml where applicable,03_BACKEND/EVENT_CATALOG.yaml,02_ARCHITECTURE/CANONICAL_RESOURCE_MODEL.yaml,NOT_STARTED
VF-EXP-007,Action Center + push status,FE-001/FE-002,project/execution,03_BACKEND/STATE_MACHINES.yaml where applicable,03_BACKEND/EVENT_CATALOG.yaml,02_ARCHITECTURE/CANONICAL_RESOURCE_MODEL.yaml,NOT_STARTED
VF-EXP-008,Preview Pane,FE-001/FE-002,project/execution,03_BACKEND/STATE_MACHINES.yaml where applicable,03_BACKEND/EVENT_CATALOG.yaml,02_ARCHITECTURE/CANONICAL_RESOURCE_MODEL.yaml,NOT_STARTED
VF-EXP-009,Project Overview,FE-001/FE-002,project/execution,03_BACKEND/STATE_MACHINES.yaml where applicable,03_BACKEND/EVENT_CATALOG.yaml,02_ARCHITECTURE/CANONICAL_RESOURCE_MODEL.yaml,NOT_STARTED
VF-EXP-010,Provider-neutral Workspace Surface,FE-001/FE-002,project/execution,03_BACKEND/STATE_MACHINES.yaml where applicable,03_BACKEND/EVENT_CATALOG.yaml,02_ARCHITECTURE/CANONICAL_RESOURCE_MODEL.yaml,NOT_STARTED
VF-EXP-011,Command/Search Palette,FE-001/FE-002,project/execution,03_BACKEND/STATE_MACHINES.yaml where applicable,03_BACKEND/EVENT_CATALOG.yaml,02_ARCHITECTURE/CANONICAL_RESOURCE_MODEL.yaml,NOT_STARTED
VF-EXP-012,Assurance Center,FE-001/FE-002,project/execution,03_BACKEND/STATE_MACHINES.yaml where applicable,03_BACKEND/EVENT_CATALOG.yaml,02_ARCHITECTURE/CANONICAL_RESOURCE_MODEL.yaml,NOT_STARTED
VF-EXP-013,Account & Billing,FE-001/FE-002,project/execution,03_BACKEND/STATE_MACHINES.yaml where applicable,03_BACKEND/EVENT_CATALOG.yaml,02_ARCHITECTURE/CANONICAL_RESOURCE_MODEL.yaml,NOT_STARTED
VF-EXP-014,Task Activity Center,FE-001/FE-002,project/execution,03_BACKEND/STATE_MACHINES.yaml where applicable,03_BACKEND/EVENT_CATALOG.yaml,02_ARCHITECTURE/CANONICAL_RESOURCE_MODEL.yaml,NOT_STARTED
VF-EXP-015,Capability Dock,FE-001/FE-002,project/execution,03_BACKEND/STATE_MACHINES.yaml where applicable,03_BACKEND/EVENT_CATALOG.yaml,02_ARCHITECTURE/CANONICAL_RESOURCE_MODEL.yaml,NOT_STARTED
VF-EXP-016,Secure Workspace Web Surface,FE-001/FE-002,project/execution,03_BACKEND/STATE_MACHINES.yaml where applicable,03_BACKEND/EVENT_CATALOG.yaml,02_ARCHITECTURE/CANONICAL_RESOURCE_MODEL.yaml,NOT_STARTED
VF-MOB-001,Device Geometry Capability,FE-001/FE-010,gateway/notification,03_BACKEND/STATE_MACHINES.yaml where applicable,03_BACKEND/EVENT_CATALOG.yaml,02_ARCHITECTURE/CANONICAL_RESOURCE_MODEL.yaml,NOT_STARTED
VF-MOB-002,Extension Shared Container,FE-001/FE-010,gateway/notification,03_BACKEND/STATE_MACHINES.yaml where applicable,03_BACKEND/EVENT_CATALOG.yaml,02_ARCHITECTURE/CANONICAL_RESOURCE_MODEL.yaml,NOT_STARTED
VF-MOB-003,Lifecycle-bound Device Observers,FE-001/FE-010,gateway/notification,03_BACKEND/STATE_MACHINES.yaml where applicable,03_BACKEND/EVENT_CATALOG.yaml,02_ARCHITECTURE/CANONICAL_RESOURCE_MODEL.yaml,NOT_STARTED
VF-MOB-004,Local approval unlock,FE-001/FE-010,gateway/notification,03_BACKEND/STATE_MACHINES.yaml where applicable,03_BACKEND/EVENT_CATALOG.yaml,02_ARCHITECTURE/CANONICAL_RESOURCE_MODEL.yaml,NOT_STARTED
